  DN  Red   Gre  Blue   mm
  217  255  157   38 1844.76
  218  255  154   41 1909.85
  219  255  151   44 1977.24
  220  255  148   47 2047.00
  221  255  145   50 2119.22
  222  255  145   50 2193.99
  223  254  140   49 2271.40
  224  253  136   48 2351.54
  225  252  132   47 2434.50
  226  252  127   47 2520.39
  227  251  123   46 2609.30
  228  250  119   45 2701.35
  229  250  114   44 2796.65
  230  249  110   44 2895.31
  231  248  106   43 2997.45
  232  248  101   42 3103.19
  233  247   97   41 3212.66
  234  246   93   41 3325.99
  235  246   88   40 3443.31
  236  245   84   39 3564.78
  237  244   80   38 3690.52
  238  244   76   38 3820.71
  239  244   76   38 3955.48
  240  244   73   39 4095.00
  241  245   70   40 4239.45
  242  246   67   41 4388.99
  243  246   65   42 4543.80
  244  247   62   43 4704.07
  245  248   59   44 4870.00
  246  248   57   45 5041.77
  247  249   54   47 5219.60
  248  250   51   48 5403.71
  249  250   49   49 5594.30
  250  251   46   50 5791.61
  251  255    0    0  9999.9
  252    0  255    0  9999.9
  253    0    0  255  9999.9
  254  255  255  255  9999.9
  255  255   33   56  9999.9

